time,target_N,target_E,target_alt,target_vN,target_vE,x0_phi,x1_theta,x2_psi,x3_p,x4_q,x5_r,x6_pN,x7_pE,x8_pD,x9_vN,x10_vE,x11_vD,x12_M1,x13_M2,x14_M3,x15_M4,vN_cmd,vE_cmd,vH_cmd
0.01,50,0.01,0,-0.0002,1,0,0,0,0,0,0,0,0,0,0,0,0,0.503614,0.50771,0.509349,0.505253,-0.0601636,0.998189,0
0.02,50,0.02,0,-0.0004,1,0,0,0,0.00437117,-0.0109219,2.80142e-07,0,0,0,0,0,-0.00714287,0.523867,0.530596,0.533292,0.526563,-0.0603633,0.998176,0
0.03,50,0.03,0,-0.0006,1,4.37117e-05,-0.000109219,2.80142e-09,0.0115603,-0.0288649,2.80142e-07,0,0,-7.14287e-05,0,0,-0.0188776,0.536916,0.545294,0.548654,0.540277,-0.0605629,0.998164,0
0.04,50,0.04,0,-0.0008,1,0.000159314,-0.000397868,-7.01451e-09,0.0205219,-0.0512045,0,0,0,-0.000260204,1.23184e-05,4.93009e-06,-0.0335641,0.545355,0.554719,0.55848,0.549117,-0.0607625,0.998152,0
0.05,50,0.05,0,-0.001,1,0.000364533,-0.000909913,-8.85907e-08,0.0305521,-0.0761743,0,1.23184e-07,4.93009e-08,-0.000595846,5.79476e-05,2.32009e-05,-0.0501484,0.550845,0.560749,0.564733,0.554829,-0.0609622,0.99814,0
0.06,50,0.06,0,-0.0012,0.999999,0.000670054,-0.00167166,-3.66271e-07,0.041177,-0.102585,-2.80142e-07,7.0266e-07,2.8131e-07,-0.00109733,0.00016341,6.54519e-05,-0.0679525,0.554447,0.564591,0.568679,0.558534,-0.0611618,0.998128,0
0.07,50,0.07,0,-0.0014,0.999999,0.00108183,-0.00269751,-1.05645e-06,0.0520771,-0.129637,0,2.33676e-06,9.35829e-07,-0.00177685,0.000358473,0.000143639,-0.0865407,0.556843,0.567025,0.571135,0.560953,-0.0613614,0.998116,0
0.08,49.9999,0.08,0,-0.0016,0.999999,0.0016026,-0.00399387,-2.4589e-06,0.063037,-0.15679,0,5.92149e-06,2.37222e-06,-0.00264226,0.0006746,0.000270421,-0.105633,0.558468,0.568552,0.57263,0.562545,-0.061561,0.998103,0
0.09,49.9999,0.09,0,-0.0018,0.999998,0.00223298,-0.00556177,-4.97164e-06,0.0739114,-0.183683,-2.80142e-07,1.26675e-05,5.07643e-06,-0.00369859,0.00114395,0.000458752,-0.125048,0.559599,0.569494,0.573504,0.563608,-0.0617607,0.998091,0
0.1,49.9999,0.0999999,0,-0.002,0.999998,0.00297212,-0.00739859,-9.07609e-06,0.0846026,-0.21007,-5.60284e-07,2.4107e-05,9.66395e-06,-0.00494907,0.0017987,0.000721626,-0.144671,0.560416,0.57006,0.573976,0.564332,-0.0619603,0.998079,0
